"","Year","unburned_low_ha","unburned_low_pct","low_severity_ha","low_severity_pct","moderate_severity_ha","moderate_severity_pct","high_severity_ha","high_severity_pct","increased_greenness_ha","increased_greenness_pct","Total_ha","Total_pct"
"1",1984,0,0,0,0,0,0,0,0,0,0,0,0
"2",1985,0,0,0,0,0,0,0,0,0,0,0,0
"3",1986,0,0,0,0,0,0,0,0,0,0,0,0
"4",1987,0,0,0,0,0,0,0,0,0,0,0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991,0,0,0,0,0,0,0,0,0,0,0,0
"9",1992,0,0,0,0,0,0,0,0,0,0,0,0
"10",1993,0,0,0,0,0,0,0,0,0,0,0,0
"11",1994,8.46,0.0100386153289495,8.37,0.00993182154885432,0,0,0,0,0,0,8.37,0.00993182154885432
"12",1995,0,0,0,0,0,0,0,0,0,0,0,0
"13",1996,13.23,0.0156986856739955,0,0,22.68,0.0269120325839924,0,0,0,0,22.68,0.0269120325839924
"14",1997,0,0,0,0,0,0,0,0,0,0,0,0
"15",1998,9.81,0.0116405220303776,18.36,0.0217859311394224,3.96,0.00469892632418914,0,0,0,0,22.32,0.0264848574636115
"16",1999,1.98,0.00234946316209457,22.05,0.0261644761233259,0,0,0,0,0.18,0.000213587560190416,22.05,0.0261644761233259
"17",2000,0,0,0,0,0,0,0,0,0,0,0,0
"18",2001,0,0,0,0,0,0,0,0,0,0,0,0
"19",2002,0,0,0,0,0,0,0,0,0,0,0,0
"20",2003,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,7.38,0.00875708996780704,278.55,0.330526749394668,0,0,0,0,0,0,278.55,0.330526749394668
"22",2005,79.83,0.0947260829444493,280.26,0.332555831216477,0,0,0,0,0,0,280.26,0.332555831216477
"23",2006,109.62,0.130074824155963,159.57,0.189345372108803,22.41,0.0265916512437067,0.27,0.000320381340285623,0.18,0.000213587560190416,182.25,0.216257404692796
"24",2007,0,0,0,0,0,0,0,0,0,0,0,0
"25",2008,0,0,0,0,0,0,0,0,0,0,0,0
"26",2009,0,0,0,0,0,0,0,0,0,0,0,0
"27",2010,0,0,0,0,0,0,0,0,0,0,0,0
"28",2011,0,0,0,0,0,0,0,0,0,0,0,0
"29",2012,243.54,0.288983968937632,140.31,0.166491503168429,0,0,0,0,0,0,140.31,0.166491503168429
"30",2013,0,0,0,0,0,0,0,0,0,0,0,0
"31",2014,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015,0,0,0,0,0,0,0,0,0,0,0,0
