"","Year","unburned_low_ha","unburned_low_pct","low_severity_ha","low_severity_pct","moderate_severity_ha","moderate_severity_pct","high_severity_ha","high_severity_pct","increased_greenness_ha","increased_greenness_pct","Total_ha","Total_pct"
"1",1984,0,0,0,0,0,0,0,0,0,0,0,0
"2",1985,0,0,0,0,0,0,0,0,0,0,0,0
"3",1986,0,0,0,0,0,0,0,0,0,0,0,0
"4",1987,0,0,0,0,0,0,0,0,0,0,0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991,0,0,0,0,0,0,0,0,0,0,0,0
"9",1992,0,0,0,0,0,0,0,0,0,0,0,0
"10",1993,0,0,0,0,0,0,0,0,0,0,0,0
"11",1994,0,0,0,0,0,0,0,0,0,0,0,0
"12",1995,0,0,0,0,0,0,0,0,0,0,0,0
"13",1996,0,0,0,0,0,0,0,0,0,0,0,0
"14",1997,0,0,0,0,0,0,0,0,0,0,0,0
"15",1998,34.47,0.0274779528759505,70.02,0.0558168337793458,66.78,0.0532340496970111,0,0,0,0,136.8,0.109050883476357
"16",1999,34.56,0.0275496968782375,119.61,0.0953477790395252,30.6,0.0243929607776061,0,0,0,0,150.21,0.119740739817131
"17",2000,0,0,0,0,0,0,0,0,0,0,0,0
"18",2001,0,0,0,0,0,0,0,0,0,0,0,0
"19",2002,0,0,0,0,0,0,0,0,0,0,0,0
"20",2003,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,0,0,0,0,0,0,0,0,0,0,0,0
"22",2005,0,0,0,0,0,0,0,0,0,0,0,0
"23",2006,0,0,0,0,0,0,0,0,0,0,0,0
"24",2007,0,0,0,0,0,0,0,0,0,0,0,0
"25",2008,55.8,0.0444812814179877,225,0.179360005717692,0,0,0,0,0,0,225,0.179360005717692
"26",2009,29.34,0.0233885447455871,144.72,0.11536435567762,0,0,0,0,0,0,144.72,0.11536435567762
"27",2010,0,0,0,0,0,0,0,0,0,0,0,0
"28",2011,38.88,0.0309934089880172,40.23,0.0320695690223234,9.54,0.00760486424243015,0,0,0,0,49.77,0.0396744332647535
"29",2012,9.54,0.00760486424243015,83.43,0.0665066901201203,0,0,0,0,0,0,83.43,0.0665066901201203
"30",2013,0,0,0,0,0,0,0,0,0,0,0,0
"31",2014,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015,0,0,0,0,0,0,0,0,0,0,0,0
