"","Year","unburned_low_ha","unburned_low_pct","low_severity_ha","low_severity_pct","moderate_severity_ha","moderate_severity_pct","high_severity_ha","high_severity_pct","increased_greenness_ha","increased_greenness_pct","Total_ha","Total_pct"
"1",1984,0,0,0,0,0,0,0,0,0,0,0,0
"2",1985,0,0,0,0,0,0,0,0,0,0,0,0
"3",1986,0,0,0,0,0,0,0,0,0,0,0,0
"4",1987,0,0,0,0,0,0,0,0,0,0,0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991,0,0,0,0,0,0,0,0,0,0,0,0
"9",1992,0,0,0,0,0,0,0,0,0,0,0,0
"10",1993,0,0,0,0,0,0,0,0,0,0,0,0
"11",1994,0,0,0,0,0,0,0,0,0,0,0,0
"12",1995,0,0,0,0,0,0,0,0,0,0,0,0
"13",1996,17.37,0.0159713475100964,281.7,0.259017190189646,0,0,0,0,0,0,281.7,0.259017190189646
"14",1997,0,0,0,0,0,0,0,0,0,0,0,0
"15",1998,33.03,0.0303703861979552,107.19,0.0985589372255169,22.95,0.0211020394563449,0,0,0,0,130.14,0.119660976681862
"16",1999,0,0,0,0,0,0,0,0,0,0,0,0
"17",2000,1.53,0.001406802630423,529.65,0.487001969414078,0,0,0,0,0,0,529.65,0.487001969414078
"18",2001,45.99,0.0422868320085971,49.59,0.0455969558448865,31.5,0.0289635835675323,0,0,12.33,0.0113371741392912,81.09,0.0745605394124187
"19",2002,0,0,0,0,0,0,0,0,0,0,0,0
"20",2003,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,0,0,0,0,0,0,0,0,0,0,0,0
"22",2005,0,0,0,0,0,0,0,0,0,0,0,0
"23",2006,2.88,0.00264809906903152,350.73,0.322488814750495,0,0,0,0,0,0,350.73,0.322488814750495
"24",2007,0,0,0,0,0,0,0,0,0,0,0,0
"25",2008,123.03,0.11312348210519,310.86,0.28582919326359,26.1,0.0239983978130982,0,0,8.01,0.00736502553574392,336.96,0.309827591076688
"26",2009,10.44,0.00959935912523926,75.96,0.0698436129457063,0.18,0.00016550619181447,0,0,0,0,76.14,0.0700091191375208
"27",2010,58.86,0.0541205247233317,249.3,0.229226075663041,0.27,0.000248259287721705,0,0,0,0,249.57,0.229474334950763
"28",2011,81.9,0.0753053172755839,436.5,0.40135251515009,39.96,0.0367423745828123,1.62,0.00148955572633023,2.7,0.00248259287721705,478.08,0.439584445459232
"29",2012,5.94,0.00546170432987751,8.91,0.00819255649481627,0.9,0.00082753095907235,0,0,1.08,0.00099303715088682,9.81,0.00902008745388862
"30",2013,0.72,0.00066202476725788,75.42,0.0693470943702629,0,0,0,0,0,0,75.42,0.0693470943702629
"31",2014,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015,0,0,0,0,0,0,0,0,0,0,0,0
