"","Year","unburned_low_ha","unburned_low_pct","low_severity_ha","low_severity_pct","moderate_severity_ha","moderate_severity_pct","high_severity_ha","high_severity_pct","increased_greenness_ha","increased_greenness_pct","Total_ha","Total_pct"
"1",1984,0.18,0.000207779734037588,0,0,0,0,0,0,0,0,0,0
"2",1985,0,0,0,0,0,0,0,0,0,0,0,0
"3",1986,0,0,0,0,0,0,0,0,0,0,0,0
"4",1987,0,0,0,0,0,0,0,0,0,0,0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991,0,0,0,0,0,0,0,0,0,0,0,0
"9",1992,0.09,0.000103889867018794,14.04,0.0162068192549319,0,0,0,0,0,0,14.04,0.0162068192549319
"10",1993,0,0,0,0,0,0,0,0,0,0,0,0
"11",1994,0,0,0,0,0,0,0,0,0,0,0,0
"12",1995,0,0,0,0,0,0,0,0,0,0,0,0
"13",1996,0,0,0,0,0,0,0,0,0,0,0,0
"14",1997,0,0,0,0,0,0,0,0,0,0,0,0
"15",1998,27.27,0.0314786297066946,58.14,0.0671128540941409,17.91,0.02067408353674,0,0,0,0,76.05,0.0877869376308809
"16",1999,0,0,0,0,0,0,0,0,0,0,0,0
"17",2000,0,0,0,0,0,0,0,0,0,0,0,0
"18",2001,0,0,0,0,0,0,0,0,0,0,0,0
"19",2002,0,0,0,0,0,0,0,0,0,0,0,0
"20",2003,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,7.02,0.00810340962746593,39.24,0.0452959820201942,2.07,0.00238946694143226,0,0,0,0,41.31,0.0476854489616264
"22",2005,2.97,0.0034283656116202,2.97,0.0034283656116202,4.05,0.00467504401584573,3.69,0.00425948454777055,1.44,0.0016622378723007,10.71,0.0123628941752365
"23",2006,0,0,0,0,0,0,0,0,0,0,0,0
"24",2007,0,0,0,0,0,0,0,0,0,0,0,0
"25",2008,0,0,0,0,0,0,0,0,0,0,0,0
"26",2009,4.86,0.00561005281901487,59.13,0.0682556426313476,0,0,0,0,0,0,59.13,0.0682556426313476
"27",2010,0,0,0,0,0,0,0,0,0,0,0,0
"28",2011,0,0,0,0,0,0,0,0,0,0,0,0
"29",2012,4.86,0.00561005281901487,48.6,0.0561005281901487,0,0,0,0,0,0,48.6,0.0561005281901487
"30",2013,17.64,0.0203624139356836,67.68,0.0781251799981331,0,0,0,0,0,0,67.68,0.0781251799981331
"31",2014,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015,0,0,0,0,0,0,0,0,0,0,0,0
