"","Year","unburned_low_ha","unburned_low_pct","low_severity_ha","low_severity_pct","moderate_severity_ha","moderate_severity_pct","high_severity_ha","high_severity_pct","increased_greenness_ha","increased_greenness_pct","Total_ha","Total_pct"
"1",1984,5.22,0.0064607503308772,224.64,0.278035048721888,0,0,0,0,0,0,224.64,0.278035048721888
"2",1985,0,0,0,0,0,0,0,0,0,0,0,0
"3",1986,0.09,0.00011139224708409,108.27,0.13400487324216,0,0,0,0,0,0,108.27,0.13400487324216
"4",1987,0,0,0,0,0,0,0,0,0,0,0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,0,0
"8",1991,0.63,0.000779745729588628,101.52,0.125650454710853,0,0,0,0,0,0,101.52,0.125650454710853
"9",1992,0.9,0.0011139224708409,365.04,0.451806954173068,0,0,0,0,0,0,365.04,0.451806954173068
"10",1993,0,0,0,0,0,0,0,0,0,0,0,0
"11",1994,0,0,82.98,0.102703651811531,0,0,0,0,0,0,82.98,0.102703651811531
"12",1995,0,0,0,0,0,0,0,0,0,0,0,0
"13",1996,0,0,0,0,0,0,0,0,0,0,0,0
"14",1997,0,0,0,0,0,0,0,0,0,0,0,0
"15",1998,0,0,0,0,0,0,0,0,0,0,0,0
"16",1999,18.54,0.0229468028993225,392.85,0.486227158522051,15.66,0.0193822509926316,0,0,0,0,408.51,0.505609409514683
"17",2000,0,0,0,0,0,0,0,0,0,0,0,0
"18",2001,0,0,0,0,0,0,0,0,0,0,0,0
"19",2002,0,0,0,0,0,0,0,0,0,0,0,0
"20",2003,0,0,0,0,0,0,0,0,0,0,0,0
"21",2004,0,0,0,0,0,0,0,0,0,0,0,0
"22",2005,0,0,0,0,0,0,0,0,0,0,0,0
"23",2006,16.92,0.0209417424518089,741.15,0.917315154737478,0,0,0,0,0,0,741.15,0.917315154737478
"24",2007,2.79,0.00345315965960678,212.4,0.262885703118452,0,0,0,0,0,0,212.4,0.262885703118452
"25",2008,21.78,0.0269569237943497,147.87,0.183017461959159,0,0,0,0,1.08,0.00133670696500908,147.87,0.183017461959159
"26",2009,8.37,0.0103594789788203,569.97,0.70544710078354,0,0,0,0,0,0,569.97,0.70544710078354
"27",2010,40.14,0.049680942199504,177.39,0.219554119002741,0,0,0,0,0,0,177.39,0.219554119002741
"28",2011,7.11,0.00879998751964308,59.67,0.0738530598167514,0,0,0,0,0,0,59.67,0.0738530598167514
"29",2012,0,0,0,0,0,0,0,0,0,0,0,0
"30",2013,0,0,0,0,0,0,0,0,0,0,0,0
"31",2014,0,0,0,0,0,0,0,0,0,0,0,0
"32",2015,0,0,0,0,0,0,0,0,0,0,0,0
