"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,5.09954229341061,0.00144039104521449,5.09954229341061,0.00144039104521449
"7",1990,0,0,5.09954229341061,0.00144039104521449
"8",1991,0,0,5.09954229341061,0.00144039104521449
"9",1992,0,0,5.09954229341061,0.00144039104521449
"10",1993,0,0,5.09954229341061,0.00144039104521449
"11",1994,0,0,5.09954229341061,0.00144039104521449
"12",1995,0,0,5.09954229341061,0.00144039104521449
"13",1996,0,0,5.09954229341061,0.00144039104521449
"14",1997,0,0,5.09954229341061,0.00144039104521449
"15",1998,0,0,5.09954229341061,0.00144039104521449
"16",1999,0,0,5.09954229341061,0.00144039104521449
"17",2000,0,0,5.09954229341061,0.00144039104521449
"18",2001,0,0,5.09954229341061,0.00144039104521449
"19",2002,0,0,5.09954229341061,0.00144039104521449
"20",2003,0,0,5.09954229341061,0.00144039104521449
"21",2004,0,0,5.09954229341061,0.00144039104521449
"22",2005,0,0,5.09954229341061,0.00144039104521449
"23",2006,0,0,5.09954229341061,0.00144039104521449
"24",2007,0,0,5.09954229341061,0.00144039104521449
"25",2008,0,0,5.09954229341061,0.00144039104521449
"26",2009,0,0,5.09954229341061,0.00144039104521449
"27",2010,0,0,5.09954229341061,0.00144039104521449
"28",2011,0,0,5.09954229341061,0.00144039104521449
"29",2012,0,0,5.09954229341061,0.00144039104521449
"30",2013,0,0,5.09954229341061,0.00144039104521449
"31",2014,0,0,5.09954229341061,0.00144039104521449
"32",2015,0,0,5.09954229341061,0.00144039104521449
