"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0.164875203188319,0.0055719640753723,0.164875203188319,0.0055719640753723
"9",1992,0,0,0.164875203188319,0.0055719640753723
"10",1993,0,0,0.164875203188319,0.0055719640753723
"11",1994,0,0,0.164875203188319,0.0055719640753723
"12",1995,0,0,0.164875203188319,0.0055719640753723
"13",1996,0,0,0.164875203188319,0.0055719640753723
"14",1997,0,0,0.164875203188319,0.0055719640753723
"15",1998,0,0,0.164875203188319,0.0055719640753723
"16",1999,0,0,0.164875203188319,0.0055719640753723
"17",2000,0,0,0.164875203188319,0.0055719640753723
"18",2001,0,0,0.164875203188319,0.0055719640753723
"19",2002,0.3786058349881,0.0127949993115125,0.543481038176419,0.0183669633868848
"20",2003,0,0,0.543481038176419,0.0183669633868848
"21",2004,0,0,0.543481038176419,0.0183669633868848
"22",2005,0,0,0.543481038176419,0.0183669633868848
"23",2006,0,0,0.543481038176419,0.0183669633868848
"24",2007,0,0,0.543481038176419,0.0183669633868848
"25",2008,0,0,0.543481038176419,0.0183669633868848
"26",2009,0,0,0.543481038176419,0.0183669633868848
"27",2010,0,0,0.543481038176419,0.0183669633868848
"28",2011,0,0,0.543481038176419,0.0183669633868848
"29",2012,0,0,0.543481038176419,0.0183669633868848
"30",2013,0,0,0.543481038176419,0.0183669633868848
"31",2014,0,0,0.543481038176419,0.0183669633868848
"32",2015,0,0,0.543481038176419,0.0183669633868848
