"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,69.3618114250539,0.00203694190931703,69.3618114250539,0.00203694190931703
"5",1988,493.651715906179,0.014497024343461,563.013527331233,0.016533966252778
"6",1989,0,0,563.013527331233,0.016533966252778
"7",1990,0,0,563.013527331233,0.016533966252778
"8",1991,0,0,563.013527331233,0.016533966252778
"9",1992,0,0,563.013527331233,0.016533966252778
"10",1993,0,0,563.013527331233,0.016533966252778
"11",1994,0,0,563.013527331233,0.016533966252778
"12",1995,0,0,563.013527331233,0.016533966252778
"13",1996,0,0,563.013527331233,0.016533966252778
"14",1997,0,0,563.013527331233,0.016533966252778
"15",1998,0,0,563.013527331233,0.016533966252778
"16",1999,147.534414078863,0.00433262951081492,710.547941410096,0.0208665957635929
"17",2000,54.105367383865,0.00158890732636462,764.653308793961,0.0224555030899576
"18",2001,0,0,764.653308793961,0.0224555030899576
"19",2002,0,0,764.653308793961,0.0224555030899576
"20",2003,195.086076481933,0.00572907478836028,959.739385275894,0.0281845778783178
"21",2004,0,0,959.739385275894,0.0281845778783178
"22",2005,0,0,959.739385275894,0.0281845778783178
"23",2006,0,0,959.739385275894,0.0281845778783178
"24",2007,786.493915772546,0.0230968941777274,1746.23330104844,0.0512814720560452
"25",2008,0,0,1746.23330104844,0.0512814720560452
"26",2009,0,0,1746.23330104844,0.0512814720560452
"27",2010,0,0,1746.23330104844,0.0512814720560452
"28",2011,0,0,1746.23330104844,0.0512814720560452
"29",2012,733.392079782033,0.0215374574650973,2479.62538083047,0.0728189295211425
"30",2013,0,0,2479.62538083047,0.0728189295211425
"31",2014,0,0,2479.62538083047,0.0728189295211425
"32",2015,0,0,2479.62538083047,0.0728189295211425
