"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,262.633965721944,0.278071627254554,262.633965721944,0.278071627254554
"3",1986,0,0,262.633965721944,0.278071627254554
"4",1987,0,0,262.633965721944,0.278071627254554
"5",1988,0,0,262.633965721944,0.278071627254554
"6",1989,0,0,262.633965721944,0.278071627254554
"7",1990,0,0,262.633965721944,0.278071627254554
"8",1991,0,0,262.633965721944,0.278071627254554
"9",1992,0,0,262.633965721944,0.278071627254554
"10",1993,0,0,262.633965721944,0.278071627254554
"11",1994,0,0,262.633965721944,0.278071627254554
"12",1995,0,0,262.633965721944,0.278071627254554
"13",1996,0,0,262.633965721944,0.278071627254554
"14",1997,0,0,262.633965721944,0.278071627254554
"15",1998,0,0,262.633965721944,0.278071627254554
"16",1999,0,0,262.633965721944,0.278071627254554
"17",2000,0,0,262.633965721944,0.278071627254554
"18",2001,0,0,262.633965721944,0.278071627254554
"19",2002,0,0,262.633965721944,0.278071627254554
"20",2003,0,0,262.633965721944,0.278071627254554
"21",2004,0,0,262.633965721944,0.278071627254554
"22",2005,0,0,262.633965721944,0.278071627254554
"23",2006,0,0,262.633965721944,0.278071627254554
"24",2007,0,0,262.633965721944,0.278071627254554
"25",2008,0,0,262.633965721944,0.278071627254554
"26",2009,0,0,262.633965721944,0.278071627254554
"27",2010,2.64283144154105,0.00279817744627466,265.276797163485,0.280869804700829
"28",2011,0,0,265.276797163485,0.280869804700829
"29",2012,0,0,265.276797163485,0.280869804700829
"30",2013,0,0,265.276797163485,0.280869804700829
"31",2014,0,0,265.276797163485,0.280869804700829
"32",2015,0,0,265.276797163485,0.280869804700829
