"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0,0,0,0
"9",1992,0,0,0,0
"10",1993,0,0,0,0
"11",1994,0,0,0,0
"12",1995,0,0,0,0
"13",1996,0,0,0,0
"14",1997,0,0,0,0
"15",1998,0,0,0,0
"16",1999,0,0,0,0
"17",2000,0,0,0,0
"18",2001,0,0,0,0
"19",2002,0,0,0,0
"20",2003,0,0,0,0
"21",2004,0,0,0,0
"22",2005,2045.06181549151,0.0231159242382708,2045.06181549151,0.0231159242382708
"23",2006,0,0,2045.06181549151,0.0231159242382708
"24",2007,1746.67688336104,0.0197431931879325,3791.73869885255,0.0428591174262033
"25",2008,0,0,3791.73869885255,0.0428591174262033
"26",2009,582.088832495696,0.00657951815929834,4373.82753134825,0.0494386355855016
"27",2010,2050.88893048119,0.0231817898016532,6424.71646182944,0.0726204253871548
"28",2011,896.41438770843,0.0101324306753944,7321.13084953787,0.0827528560625492
"29",2012,0,0,7321.13084953787,0.0827528560625492
"30",2013,378.182418929647,0.00427470508617494,7699.31326846751,0.0870275611487242
"31",2014,0,0,7699.31326846751,0.0870275611487242
"32",2015,0,0,7699.31326846751,0.0870275611487242
