"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,119.562762530563,0.0155106487859256,119.562762530563,0.0155106487859256
"9",1992,391.911798949868,0.0508419690203947,511.474561480431,0.0663526178063203
"10",1993,0,0,511.474561480431,0.0663526178063203
"11",1994,0,0,511.474561480431,0.0663526178063203
"12",1995,194.94086577331,0.0252893061270741,706.415427253741,0.0916419239333944
"13",1996,0,0,706.415427253741,0.0916419239333944
"14",1997,0,0,706.415427253741,0.0916419239333944
"15",1998,0,0,706.415427253741,0.0916419239333944
"16",1999,170.358450244879,0.0221002763196229,876.77387749862,0.113742200253017
"17",2000,0,0,876.77387749862,0.113742200253017
"18",2001,0,0,876.77387749862,0.113742200253017
"19",2002,0,0,876.77387749862,0.113742200253017
"20",2003,0,0,876.77387749862,0.113742200253017
"21",2004,0,0,876.77387749862,0.113742200253017
"22",2005,0,0,876.77387749862,0.113742200253017
"23",2006,0,0,876.77387749862,0.113742200253017
"24",2007,0,0,876.77387749862,0.113742200253017
"25",2008,0,0,876.77387749862,0.113742200253017
"26",2009,0,0,876.77387749862,0.113742200253017
"27",2010,804.253823857905,0.104334312227094,1681.02770135652,0.218076512480111
"28",2011,0,0,1681.02770135652,0.218076512480111
"29",2012,0,0,1681.02770135652,0.218076512480111
"30",2013,0,0,1681.02770135652,0.218076512480111
"31",2014,220.660796437857,0.0286259036001725,1901.68849779438,0.246702416080284
"32",2015,0,0,1901.68849779438,0.246702416080284
