"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0,0,0,0
"9",1992,0,0,0,0
"10",1993,0,0,0,0
"11",1994,0,0,0,0
"12",1995,0,0,0,0
"13",1996,0,0,0,0
"14",1997,0,0,0,0
"15",1998,0,0,0,0
"16",1999,0,0,0,0
"17",2000,1.30909910453531,0.00250836501026009,1.30909910453531,0.00250836501026009
"18",2001,0,0,1.30909910453531,0.00250836501026009
"19",2002,0,0,1.30909910453531,0.00250836501026009
"20",2003,0,0,1.30909910453531,0.00250836501026009
"21",2004,0,0,1.30909910453531,0.00250836501026009
"22",2005,0,0,1.30909910453531,0.00250836501026009
"23",2006,0,0,1.30909910453531,0.00250836501026009
"24",2007,0,0,1.30909910453531,0.00250836501026009
"25",2008,0,0,1.30909910453531,0.00250836501026009
"26",2009,0,0,1.30909910453531,0.00250836501026009
"27",2010,0,0,1.30909910453531,0.00250836501026009
"28",2011,0,0,1.30909910453531,0.00250836501026009
"29",2012,0,0,1.30909910453531,0.00250836501026009
"30",2013,0,0,1.30909910453531,0.00250836501026009
"31",2014,0,0,1.30909910453531,0.00250836501026009
"32",2015,0,0,1.30909910453531,0.00250836501026009
