"","Year","Burned_ha","Burned_pct","Burned_ha_cum","Burned_pct_cum"
"1",1984,0,0,0,0
"2",1985,0,0,0,0
"3",1986,0,0,0,0
"4",1987,0,0,0,0
"5",1988,0,0,0,0
"6",1989,0,0,0,0
"7",1990,0,0,0,0
"8",1991,0,0,0,0
"9",1992,55.7356210159788,0.0196998999474072,55.7356210159788,0.0196998999474072
"10",1993,0,0,55.7356210159788,0.0196998999474072
"11",1994,0,0,55.7356210159788,0.0196998999474072
"12",1995,135.886589350565,0.0480294677910396,191.622210366544,0.0677293677384468
"13",1996,0,0,191.622210366544,0.0677293677384468
"14",1997,0,0,191.622210366544,0.0677293677384468
"15",1998,0,0,191.622210366544,0.0677293677384468
"16",1999,73.0444931999195,0.0258177657576461,264.666703566464,0.0935471334960929
"17",2000,0,0,264.666703566464,0.0935471334960929
"18",2001,0,0,264.666703566464,0.0935471334960929
"19",2002,1.39046152914096,0.000491462237353429,266.057165095605,0.0940385957334463
"20",2003,0,0,266.057165095605,0.0940385957334463
"21",2004,0,0,266.057165095605,0.0940385957334463
"22",2005,0,0,266.057165095605,0.0940385957334463
"23",2006,0,0,266.057165095605,0.0940385957334463
"24",2007,0,0,266.057165095605,0.0940385957334463
"25",2008,0,0,266.057165095605,0.0940385957334463
"26",2009,0,0,266.057165095605,0.0940385957334463
"27",2010,0,0,266.057165095605,0.0940385957334463
"28",2011,0,0,266.057165095605,0.0940385957334463
"29",2012,0,0,266.057165095605,0.0940385957334463
"30",2013,0,0,266.057165095605,0.0940385957334463
"31",2014,0,0,266.057165095605,0.0940385957334463
"32",2015,0,0,266.057165095605,0.0940385957334463
