"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"2",1985,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"3",1986,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"4",1987,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"5",1988,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"6",1989,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"7",1990,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"8",1991,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"9",1992,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"10",1993,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"11",1994,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"12",1995,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"13",1996,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"14",1997,141.613705607047,0.0239610284525871,141.613705607047,0.0239610284525871,366.24083,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,141.613705607047,0.0239610284525871,141.613705607047,0.0239610284525871,"1997/02/16",366.24083,1
"15",1998,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"16",1999,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"17",2000,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"18",2001,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"19",2002,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"20",2003,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"21",2004,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"22",2005,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"23",2006,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"24",2007,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"25",2008,0,0,141.613705607047,0.0239610284525871,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"26",2009,6.68361454816088,0.00113086708428481,148.297320155208,0.0250918955368719,417.635952,1,NA,NA,NA,NA,NA,NA,NA,6.68361454816088,0.00113086708428481,6.68361454816088,0.00113086708428481,"2009/01/30",417.635952,1,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"27",2010,0,0,148.297320155208,0.0250918955368719,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,6.68361454816088,0.00113086708428481,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"28",2011,0,0,148.297320155208,0.0250918955368719,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,6.68361454816088,0.00113086708428481,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"29",2012,354.798538991999,0.0600318864002707,503.095859147207,0.0851237819371426,872.503016,2,NA,NA,NA,NA,NA,NA,NA,354.798538991999,0.0600318864002707,361.48215354016,0.0611627534845555,"2012/02/20",872.503016,2,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"30",2013,0,0,503.095859147207,0.0851237819371426,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,361.48215354016,0.0611627534845555,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"31",2014,0,0,503.095859147207,0.0851237819371426,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,361.48215354016,0.0611627534845555,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
"32",2015,0,0,503.095859147207,0.0851237819371426,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,361.48215354016,0.0611627534845555,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,141.613705607047,0.0239610284525871,"0",0,0
