"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,234.114374262742,0.288466341821737,234.114374262742,0.288466341821737,1339.915346,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,234.114374262742,0.288466341821737,234.114374262742,0.288466341821737,"1984/12/24",1339.915346,1
"2",1985,76.1024521822703,0.0937703891690384,310.216826445012,0.382236730990776,641.42731,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,76.1024521822703,0.0937703891690384,310.216826445012,0.382236730990776,"1985/01/09",641.42731,1
"3",1986,234.999441254712,0.289556885869897,545.216267699724,0.671793616860672,345.601844,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,234.999441254712,0.289556885869897,545.216267699724,0.671793616860672,"1986/01/28",345.601844,1
"4",1987,0,0,545.216267699724,0.671793616860672,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,545.216267699724,0.671793616860672,"0",0,0
"5",1988,0,0,545.216267699724,0.671793616860672,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,545.216267699724,0.671793616860672,"0",0,0
"6",1989,0,0,545.216267699724,0.671793616860672,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,545.216267699724,0.671793616860672,"0",0,0
"7",1990,0,0,545.216267699724,0.671793616860672,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,545.216267699724,0.671793616860672,"0",0,0
"8",1991,511.087201582427,0.629741150481141,1056.30346928215,1.30153476734181,5994.209032,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,511.087201582427,0.629741150481141,1056.30346928215,1.30153476734181,"1991/02/11",5994.209032,2
"9",1992,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"10",1993,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"11",1994,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"12",1995,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"13",1996,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"14",1997,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"15",1998,0,0,1056.30346928215,1.30153476734181,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1056.30346928215,1.30153476734181,"0",0,0
"16",1999,29.6911349195009,0.0365842255595628,1085.99460420165,1.33811899290138,13865.351732,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,29.6911349195009,0.0365842255595628,1085.99460420165,1.33811899290138,"1999/02/17",13865.351732,3
"17",2000,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
"18",2001,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
"19",2002,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
"20",2003,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
"21",2004,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
"22",2005,0,0,1085.99460420165,1.33811899290138,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,0,0,1085.99460420165,1.33811899290138,"0",0,0
