"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1985,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1986,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1987,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1988,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1989,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1990,24.3553794218036,0.027834349407019,24.3553794218036,0.027834349407019,8665.541318,1,24.3553794218036,0.027834349407019,24.3553794218036,0.027834349407019,"1990/09/01",8665.541318,1,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1991,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1992,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1993,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1994,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1995,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1996,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1997,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1998,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1999,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2000,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2001,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2002,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2003,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2004,0,0,24.3553794218036,0.027834349407019,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2005,192.12196626376,0.219565043316949,216.477345685564,0.247399392723968,2018.573768,2,0,0,24.3553794218036,0.027834349407019,"0",0,0,192.12196626376,0.219565043316949,192.12196626376,0.219565043316949,"2005/05/12",2018.573768,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2006,0,0,216.477345685564,0.247399392723968,0,0,0,0,24.3553794218036,0.027834349407019,"0",0,0,0,0,192.12196626376,0.219565043316949,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2007,666.388509508778,0.761576746280735,882.865855194342,1.0089761390047,133832.088316,1,666.388509508778,0.761576746280735,690.743888930582,0.789411095687754,"2007/04/25",133832.088316,1,0,0,192.12196626376,0.219565043316949,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2008,0,0,882.865855194342,1.0089761390047,0,0,0,0,690.743888930582,0.789411095687754,"0",0,0,0,0,192.12196626376,0.219565043316949,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2009,47.0783432457312,0.0538031057825424,929.944198440074,1.06277924478724,617.550836,1,0,0,690.743888930582,0.789411095687754,"0",0,0,47.0783432457312,0.0538031057825424,239.200309509492,0.273368149099491,"2009/03/10",617.550836,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2010,0,0,929.944198440074,1.06277924478724,0,0,0,0,690.743888930582,0.789411095687754,"0",0,0,0,0,239.200309509492,0.273368149099491,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2011,825.90209361162,0.943875562414538,1755.84629205169,2.00665480720178,117259.387244,2,825.90209361162,0.943875562414538,1516.6459825422,1.73328665810229,"2011/04/30",117259.387244,2,0,0,239.200309509492,0.273368149099491,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2012,0,0,1755.84629205169,2.00665480720178,0,0,0,0,1516.6459825422,1.73328665810229,"0",0,0,0,0,239.200309509492,0.273368149099491,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2013,0,0,1755.84629205169,2.00665480720178,0,0,0,0,1516.6459825422,1.73328665810229,"0",0,0,0,0,239.200309509492,0.273368149099491,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2014,197.058570378493,0.225206801609188,1952.90486243019,2.23186160881097,2683.472866,2,100.547174284743,0.114909529121297,1617.19315682694,1.84819618722359,"2014/06/25",2084.537586,1,96.5113960937501,0.110297272487891,335.711705603242,0.383665421587382,"2014/07/18",598.93528,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2015,0,0,1952.90486243019,2.23186160881097,0,0,0,0,1617.19315682694,1.84819618722359,"0",0,0,0,0,335.711705603242,0.383665421587382,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
