"","Year","ZoneTotalBurned_ha","ZoneTotalBurned_pct","ZoneTotalBurned_ha_cum","ZoneTotalBurned_pct_cum","WholeFire_ha","nTotalFires","wildfire_ha","wildfire_pct","wildfire_ha_cum","wildfire_pct_cum","wildfire_IgDate","Wholewildfire_ha","nWildfires","Rxfire_ha","Rxfire_pct","Rxfire_ha_cum","Rxfire_pct_cum","Rxfire_IgDate","WholeRxfire_ha","nRxfires","WLFU_ha","WLFU_pct","WLFU_ha_cum","WLFU_pct_cum","WLFU_IgDate","WholeWLFU_ha","nWLFUfires","unknown_fire_ha","unknown_fire_pct","unknown_fire_ha_cum","unknown_fire_pct_cum","unknown_fire_IgDate","Wholeunknown_fire_ha","nUnknownfires"
"1",1984,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"2",1985,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"3",1986,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"4",1987,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"5",1988,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"6",1989,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"7",1990,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"8",1991,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"9",1992,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"10",1993,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"11",1994,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"12",1995,0,0,0,0,0,0,0,0,0,0,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"13",1996,15.8048774806641,0.0176546178822295,15.8048774806641,0.0176546178822295,637.38045,1,15.8048774806641,0.0176546178822295,15.8048774806641,0.0176546178822295,"1996/02/24",637.38045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"14",1997,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"15",1998,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"16",1999,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"17",2000,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"18",2001,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"19",2002,0,0,15.8048774806641,0.0176546178822295,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"0",0,0
"20",2003,464.219473876579,0.518549886565541,480.024351357244,0.536204504447771,1635.740812,1,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.219473876579,0.518549886565541,464.219473876579,0.518549886565541,"2003/04/14",1635.740812,1
"21",2004,0,0,480.024351357244,0.536204504447771,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,464.219473876579,0.518549886565541,"0",0,0
"22",2005,0,0,480.024351357244,0.536204504447771,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,464.219473876579,0.518549886565541,"0",0,0
"23",2006,364.944433802284,0.407656088122691,844.968785159528,0.943860592570462,478961.663754,1,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.944433802284,0.407656088122691,829.163907678864,0.926205974688233,"2006/04/22",478961.663754,1
"24",2007,415.970019647963,0.464653506889426,1260.93880480749,1.40851409945989,1662.450088,1,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.970019647963,0.464653506889426,1245.13392732683,1.39085948157766,"2007/04/01",1662.450088,1
"25",2008,0,0,1260.93880480749,1.40851409945989,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1245.13392732683,1.39085948157766,"0",0,0
"26",2009,0,0,1260.93880480749,1.40851409945989,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1245.13392732683,1.39085948157766,"0",0,0
"27",2010,0,0,1260.93880480749,1.40851409945989,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1245.13392732683,1.39085948157766,"0",0,0
"28",2011,0,0,1260.93880480749,1.40851409945989,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1245.13392732683,1.39085948157766,"0",0,0
"29",2012,208.313201943321,0.232693355872729,1469.25200675081,1.64120745533262,1241.171962,1,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.313201943321,0.232693355872729,1453.44712927015,1.62355283745039,"2012/04/21",1241.171962,1
"30",2013,0,0,1469.25200675081,1.64120745533262,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1453.44712927015,1.62355283745039,"0",0,0
"31",2014,0,0,1469.25200675081,1.64120745533262,0,0,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1453.44712927015,1.62355283745039,"0",0,0
"32",2015,348.166150915936,0.388914141312864,1817.41815766675,2.03012159664548,1333.845056,1,0,0,15.8048774806641,0.0176546178822295,"0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.166150915936,0.388914141312864,1801.61328018608,2.01246697876325,"2015/04/22",1333.845056,1
